request_length,param_count,special_char_ratio,url_depth,user_agent_length,content_length,request_time_seconds,status_code,label,attack_type
1856,5,0.3048354306794656,5,20,3660,2.681341556781996,400,1,rce
605,12,0.32891352581680044,9,13,2526,4.485107952484629,404,1,rce
242,5,0.030500105950813268,4,129,641,0.5560172117686025,200,0,normal
351,5,0.01663098160653103,1,132,130,0.3239371243179387,200,0,normal
350,2,0.0410244740370131,4,143,200,0.20281342473225628,200,0,normal
288,3,0.04310075688425213,1,126,360,0.1018688658400731,200,0,normal
1076,28,0.4873676522001632,8,51,2386,1.9791994920069036,404,1,xss
473,4,0.042896894946731136,1,124,534,0.12915022399839557,200,0,normal
851,7,0.16193655785898198,7,10,3100,2.133186111990809,400,1,rce
482,4,0.024215382747429577,2,102,650,0.7527583759190997,200,0,normal
356,5,0.04829792076152385,2,121,263,0.5495935016842042,200,0,normal
1820,16,0.3384255724402381,7,42,3198,3.3511816202654887,400,1,brute
413,1,0.04653147790304947,2,142,184,0.9481342955215731,200,0,normal
1801,19,0.15268381408254206,9,10,2302,1.3876693082679794,400,1,lfi
387,4,0.03600804369592613,4,120,837,0.8822573716627786,200,0,normal
1075,7,0.1960606384088057,9,54,2089,2.1599495705765674,400,1,rce
730,12,0.22637432895425472,9,42,3578,2.871032923830318,500,1,xss
482,3,0.012545636371465694,3,145,654,0.7752976982379604,200,0,normal
292,1,0.018195250966028503,3,119,792,0.8762406597084709,200,0,normal
459,4,0.016993545090416503,1,140,853,0.21905915288593442,200,0,normal
1131,11,0.2195704600393333,8,42,4305,1.702689191874338,400,1,sqli
1118,11,0.49534822668862843,9,23,4386,1.8013592843857693,404,1,brute
599,10,0.3490301591331127,8,52,2552,1.1639128889995618,400,1,xss
973,26,0.42198673355267413,7,44,2849,4.953048460572747,404,1,sqli
1983,14,0.19283143114646603,6,38,3538,1.4318497924433422,500,1,xss
463,2,0.030775434380157493,2,116,189,0.8527740369218709,200,0,normal
1715,7,0.29084392707757045,5,19,3915,1.161320644206052,404,1,sqli
1305,14,0.16562543530613408,8,42,4314,1.824295119748701,404,1,sqli
1621,23,0.10992688457805966,7,19,3443,4.802425486319491,400,1,rce
1685,14,0.45250322710520463,9,30,2686,2.4944226381362364,500,1,sqli
1730,13,0.43104410453966135,9,16,4630,3.341043502039386,500,1,lfi
304,2,0.014597319882382675,1,96,757,0.8711518147508587,200,0,normal
1594,23,0.46801526564362106,7,20,3501,2.5849893872656238,400,1,rce
1949,9,0.30348239368650665,6,15,2084,2.766136041515588,500,1,brute
208,2,0.039139627086464526,4,141,808,0.5303430312002597,200,0,normal
204,1,0.044909210019384076,2,83,372,0.9658918937485248,200,0,normal
243,4,0.04225614468931358,1,137,769,0.8704009674038375,200,0,normal
441,3,0.020344833395521553,1,111,367,0.9040642561791884,200,0,normal
506,8,0.2318121655095987,9,20,4543,4.32629570364181,500,1,brute
328,2,0.04979465268679069,1,108,420,0.8679182222774058,200,0,normal
1917,25,0.22374742483200516,6,38,2761,2.6469906703609727,404,1,lfi
274,4,0.04939958624563501,1,87,541,0.15679573220399162,200,0,normal
666,28,0.3223483256795837,6,26,3079,3.0806408920975827,400,1,sqli
288,2,0.048241885744477325,4,107,757,0.7499944888062816,200,0,normal
1010,18,0.4742092091035429,5,24,4901,3.3868919604248684,400,1,rce
257,2,0.015414163291107421,2,120,675,0.9448431718366315,200,0,normal
295,5,0.02087798904514524,3,125,948,0.8578961762351605,200,0,normal
369,5,0.02312771014437246,1,111,729,0.816670597073619,200,0,normal
206,5,0.02101524697021674,2,96,565,0.8354719456539769,200,0,normal
357,5,0.040441511610031323,2,144,383,0.7778069624617068,200,0,normal
344,4,0.040955186229206256,3,115,236,0.8772769471754406,200,0,normal
372,2,0.011327574182497049,4,80,134,0.3716284326964243,200,0,normal
1987,26,0.4526541396701643,5,39,4670,2.09604712154219,500,1,xss
1309,12,0.17642485573854327,8,33,3050,2.2837417532777615,500,1,sqli
346,4,0.032417625239217596,3,118,439,0.8317565174927081,200,0,normal
448,3,0.026873127141553252,1,131,959,0.9508344846533,200,0,normal
253,5,0.0342501175100391,3,104,284,0.6666655104447334,200,0,normal
321,1,0.027099587516824605,4,123,477,0.20196964395844091,200,0,normal
463,1,0.04732453325374231,2,147,733,0.1369613555113649,200,0,normal
427,3,0.03454416456949834,1,115,907,0.5396882197962314,200,0,normal
361,4,0.034026042661934236,2,83,368,0.6857498994053365,200,0,normal
200,2,0.025216021958816386,2,109,656,0.9312983537946874,200,0,normal
380,2,0.036716799952145086,4,88,520,0.3386876832971462,200,0,normal
479,1,0.03563305258760825,2,114,621,0.4570795508099764,200,0,normal
317,1,0.020809907685231332,2,122,598,0.20711917404382696,200,0,normal
414,4,0.0323902273455353,3,127,990,0.24813934632961726,200,0,normal
446,5,0.027360774646955008,1,134,359,0.8496436530867949,200,0,normal
1626,26,0.21190677235481636,9,35,3207,4.7276509303898235,500,1,brute
1552,24,0.3427892465097062,9,20,2541,3.339027233349219,404,1,brute
383,1,0.04098535122551152,3,119,936,0.11294311238573768,200,0,normal
445,1,0.030690762257664372,1,110,217,0.4877724478440437,200,0,normal
469,3,0.01812892364344349,2,90,487,0.8666113047944874,200,0,normal
230,2,0.0430682943896595,2,92,992,0.5702471280015297,200,0,normal
455,5,0.0356930210362091,2,122,416,0.6248150411075823,200,0,normal
417,4,0.03674290586891656,3,144,784,0.8147641107854652,200,0,normal
1051,10,0.2625465621109846,9,26,4450,1.6117727459017046,400,1,sqli
493,2,0.03066290513783916,4,84,538,0.7350537743058637,200,0,normal
381,3,0.03483714269913725,2,111,761,0.36820617147437984,200,0,normal
472,5,0.04660360273628173,3,89,961,0.7471680584597306,200,0,normal
417,5,0.04716912214527416,3,104,681,0.8101865004838811,200,0,normal
1581,10,0.48029788528506867,8,48,4862,1.8401893491682784,404,1,xss
250,3,0.014654655915419045,3,134,777,0.5294800714761652,200,0,normal
362,2,0.032600879714360646,2,102,151,0.9709685423503441,200,0,normal
419,1,0.02361548417018023,2,119,252,0.4428013263621964,200,0,normal
339,2,0.02776174996808812,1,109,847,0.1806094218846796,200,0,normal
436,5,0.027580467545316407,4,88,957,0.47427520546715285,200,0,normal
438,4,0.041783131148007614,2,143,233,0.6267671455008802,200,0,normal
210,3,0.01291607341471614,3,143,112,0.6149547656053928,200,0,normal
499,2,0.01570376576327635,1,148,898,0.8603178230693315,200,0,normal
237,3,0.02181161976191773,3,106,970,0.8723861118793268,200,0,normal
1466,22,0.37736034137161767,8,52,4522,1.22853087737332,404,1,lfi
334,5,0.010373264793083732,1,146,909,0.74139905708789,200,0,normal
298,1,0.045447831218602984,2,135,319,0.4993942051830206,200,0,normal
1302,9,0.3247507824966053,8,32,4328,2.6513575910356257,500,1,lfi
616,5,0.47800683769939767,6,55,3873,1.4550478352181977,500,1,rce
224,1,0.013338563399575332,4,96,373,0.5649648326688478,200,0,normal
294,2,0.041451127975361324,2,129,165,0.22316064992772114,200,0,normal
212,4,0.013923303231369784,4,118,579,0.7044289686450333,200,0,normal
710,15,0.37443646157739474,8,10,3463,4.3672348361152755,400,1,lfi
421,3,0.048880213185261485,3,119,619,0.5790005873705746,200,0,normal
283,5,0.025092722158527717,4,139,233,0.5015343308114526,200,0,normal
306,2,0.038958922218643756,3,133,184,0.5807257265221275,200,0,normal
567,5,0.4790260505296172,6,16,3348,4.135810072391363,404,1,rce
742,16,0.39652348334030496,5,57,3060,3.0390282676034857,404,1,sqli
438,1,0.013176263385721181,3,118,197,0.5637746691949391,200,0,normal
234,2,0.04289922254537444,4,91,520,0.16382436353918134,200,0,normal
414,3,0.048524604463566955,3,84,700,0.5748072840994779,200,0,normal
1409,7,0.22811949699869702,8,10,4743,1.8849512792267347,400,1,lfi
258,4,0.046775678928576696,4,83,755,0.8384969253301469,200,0,normal
342,5,0.030417299560169288,1,86,716,0.6872283599565089,200,0,normal
350,3,0.04214414141766141,4,94,234,0.5654884849241765,200,0,normal
1218,11,0.17986789521625868,5,23,4654,1.9440317212948481,404,1,brute
391,2,0.02275467273284555,1,140,531,0.40418339542285253,200,0,normal
274,4,0.042711413194277806,2,119,886,0.6056774108285666,200,0,normal
359,2,0.029529645480871128,2,105,976,0.12855024263442805,200,0,normal
452,4,0.018054551285438977,2,89,207,0.16274748325035654,200,0,normal
246,2,0.03504937285684256,4,97,971,0.7438277037060007,200,0,normal
312,2,0.017407822714698717,4,87,575,0.3936539364120518,200,0,normal
295,5,0.04903495019640215,1,80,828,0.6621975768553451,200,0,normal
1260,27,0.34021390728256595,7,33,3291,2.4540578294770667,500,1,brute
376,5,0.04856313665960433,3,96,384,0.7044942078981089,200,0,normal
1397,14,0.24068392718352333,9,23,4722,3.363487691897034,404,1,xss
1105,22,0.13573596091674675,6,55,3477,3.0389420400157485,500,1,sqli
362,3,0.04399901485922648,1,128,520,0.3516726866438856,200,0,normal
389,3,0.011537053958493,1,108,810,0.11644756275115561,200,0,normal
1311,27,0.4994243226342515,5,30,2887,3.642909572436606,400,1,sqli
1310,9,0.2641214887490648,9,22,2623,1.0888112519514013,500,1,rce
432,4,0.01286847555390604,2,99,442,0.6939941051217855,200,0,normal
1964,8,0.18871179677341857,7,39,3082,2.9225921132496357,500,1,xss
261,5,0.0313211546898456,3,119,254,0.5927660956539951,200,0,normal
1078,16,0.2001434918283422,9,29,4787,4.621287313504359,404,1,rce
262,1,0.03780140915434213,2,92,735,0.22362557137180683,200,0,normal
1865,21,0.24007460973278444,5,36,2527,2.6420911374057114,500,1,xss
575,21,0.3012534218993279,7,14,3548,1.7191912539803016,500,1,xss
289,2,0.04015847614387136,4,109,426,0.40493171944436335,200,0,normal
493,5,0.013505709870553542,3,115,294,0.6624817735384316,200,0,normal
420,3,0.03109598488490705,1,97,821,0.15749179068781258,200,0,normal
344,2,0.03918032914609587,4,133,717,0.4489256393551061,200,0,normal
484,4,0.04803090830925352,4,126,998,0.7547071521575084,200,0,normal
357,1,0.024732381220273936,2,129,983,0.6234077839941898,200,0,normal
508,17,0.10401879242193264,9,59,3633,3.8202531368215165,500,1,xss
216,2,0.022224168619608596,2,84,526,0.4085550683249056,200,0,normal
1332,27,0.4623027162545792,9,16,2024,4.30123360969193,404,1,rce
298,2,0.03361390761835092,3,81,540,0.5967427249544198,200,0,normal
245,2,0.010496161451092592,4,106,721,0.3625241056494275,200,0,normal
1391,26,0.30931449972009994,8,20,4768,2.5052472678199904,500,1,xss
476,4,0.03746359653970427,3,131,267,0.5027966695954557,200,0,normal
1888,15,0.2278883397359417,9,35,2288,2.1830113384813177,404,1,xss
250,2,0.02639619558785153,3,140,890,0.6250793671165916,200,0,normal
476,5,0.010934083853127437,2,111,870,0.8395771752868513,200,0,normal
1667,15,0.13550930678249307,5,12,3340,1.6960417920644968,400,1,lfi
759,21,0.1522537526229439,7,47,4389,2.590539942931012,404,1,rce
450,4,0.012507584864874636,3,86,831,0.7002423866835159,200,0,normal
1960,13,0.4996829195773763,6,41,4018,4.431062193489769,400,1,sqli
218,2,0.04916419752060618,1,128,296,0.28813333364733007,200,0,normal
1975,13,0.27511259091984797,7,58,3462,2.6897831601235165,500,1,brute
1646,8,0.47951619907676724,8,41,4440,4.205408233080995,404,1,rce
